gene,selected_in_outer_folds,selection_frequency
GENE_002,5,1.0
GENE_005,5,1.0
GENE_013,5,1.0
GENE_022,5,1.0
GENE_024,5,1.0
GENE_025,5,1.0
GENE_032,5,1.0
GENE_038,5,1.0
GENE_006,4,0.8
GENE_009,4,0.8
GENE_014,4,0.8
GENE_031,4,0.8
GENE_037,4,0.8
GENE_003,3,0.6
GENE_007,3,0.6
GENE_010,3,0.6
GENE_015,3,0.6
GENE_016,3,0.6
GENE_019,3,0.6
GENE_021,3,0.6
GENE_023,3,0.6
GENE_029,3,0.6
GENE_030,3,0.6
GENE_033,3,0.6
GENE_034,3,0.6
GENE_004,2,0.4
GENE_008,2,0.4
GENE_017,2,0.4
GENE_018,2,0.4
GENE_027,2,0.4
GENE_035,2,0.4
GENE_001,1,0.2
GENE_012,1,0.2
GENE_020,1,0.2
GENE_026,1,0.2
GENE_028,1,0.2
GENE_036,1,0.2
GENE_039,1,0.2
GENE_040,1,0.2
GENE_011,0,0.0
