gene,coefficient,abs_coefficient,selected
GENE_002,0.4569542181196803,0.4569542181196803,True
GENE_013,-0.20649128616800794,0.20649128616800794,True
GENE_032,-0.2023397076718384,0.2023397076718384,True
GENE_022,-0.13126565604389717,0.13126565604389717,True
GENE_025,0.1245342789171454,0.1245342789171454,True
GENE_038,-0.1166554910391062,0.1166554910391062,True
GENE_009,0.09693500871290965,0.09693500871290965,True
GENE_005,-0.09628959863201816,0.09628959863201816,True
GENE_024,0.08650184388162245,0.08650184388162245,True
GENE_037,0.07953251861877325,0.07953251861877325,True
GENE_019,0.021953808662450287,0.021953808662450287,True
GENE_006,0.019862769921229848,0.019862769921229848,True
GENE_014,-0.008305733220663584,0.008305733220663584,True
GENE_001,0.0,0.0,False
GENE_003,0.0,0.0,False
GENE_004,0.0,0.0,False
GENE_008,0.0,0.0,False
GENE_007,0.0,0.0,False
GENE_011,0.0,0.0,False
GENE_017,0.0,0.0,False
GENE_016,0.0,0.0,False
GENE_015,0.0,0.0,False
GENE_012,0.0,0.0,False
GENE_010,0.0,0.0,False
GENE_023,0.0,0.0,False
GENE_021,0.0,0.0,False
GENE_018,0.0,0.0,False
GENE_020,0.0,0.0,False
GENE_028,0.0,0.0,False
GENE_029,0.0,0.0,False
GENE_027,0.0,0.0,False
GENE_026,0.0,0.0,False
GENE_031,0.0,0.0,False
GENE_030,0.0,0.0,False
GENE_033,0.0,0.0,False
GENE_034,0.0,0.0,False
GENE_036,0.0,0.0,False
GENE_035,0.0,0.0,False
GENE_039,0.0,0.0,False
GENE_040,0.0,0.0,False
